"ID","Wave","TotalSpending","InternationalSpend","DomesticSpend","Female","Age","HomeState","HomeRegion","BookingTime","DeviceTypeMobileTablet","Windows/Android","PromotionsUsed","EaseOfUse","UsageDuration","BookingCount","AvailableFlights","Satisfaction","NetPromoterScore","TotalSatisfaction","WebsiteReturned","WebsiteReviewed","ReviewSentiment","ReviewMentionsWebsite"
893,3,1465,0,1465,1,43,"QLD","Urban","6:00 AM - 12:00 PM",1,1,0,1,126,4,2,6,4,10,0,0,99,99
1472,4,2497,1510,987,1,40,"NSW","Urban","6:00 AM - 12:00 PM",1,1,1,3,90,4,5,8,8,16,0,0,99,99
498,2,4850,2447,2403,0,48,"VIC","Urban","6:00 PM - 12:00 AM",1,0,0,3,126,3,3,2,6,8,0,0,99,99
130,1,589,0,589,0,26,"NSW","Remote","12:00 AM - 6:00 AM",0,0,0,2,126,2,3,10,10,20,1,0,99,99
526,2,3834,2029,1805,0,46,"ACT","Urban","6:00 PM - 12:00 AM",1,0,1,3,180,3,5,4,0,4,0,1,2,1
517,2,2949,1719,1230,1,59,"NSW","Urban","6:00 PM - 12:00 AM",0,0,0,3,66,4,2,10,9,19,1,0,99,99
1330,4,324,0,324,0,21,"NT","Urban","6:00 AM - 12:00 PM",0,1,0,1,90,2,4,7,3,10,0,0,99,99
1106,3,239,0,239,0,21,"NSW","Regional","6:00 AM - 12:00 PM",1,1,0,3,96,1,3,10,10,20,0,0,99,99
409,2,4197,2031,2166,1,50,"VIC","Urban","6:00 PM - 12:00 AM",1,0,0,3,60,3,1,6,1,7,0,1,2,0
581,2,4264,2366,1898,1,99,"NA","NA","6:00 PM - 12:00 AM",1,0,0,2,90,3,3,7,8,15,1,0,99,99
373,1,217,0,217,1,55,"VIC","Urban","6:00 PM - 12:00 AM",1,1,0,2,54,1,4,6,5,11,0,0,99,99
198,1,1489,1281,208,1,24,"QLD","Regional","12:00 AM - 6:00 AM",1,1,0,3,120,2,3,10,10,20,0,0,99,99
181,1,3958,2064,1894,1,57,"ACT","Regional","12:00 AM - 6:00 AM",0,0,1,3,36,1,1,2,3,5,0,0,99,99
37,1,3373,1260,2113,1,57,"VIC","Urban","12:00 AM - 6:00 AM",1,0,1,2,126,3,4,9,10,19,1,0,99,99
1662,5,1113,0,1113,0,41,"VIC","Urban","6:00 PM - 12:00 AM",1,1,1,3,102,1,2,9,9,18,0,0,99,99
1829,5,3231,1992,1239,0,52,"NT","Urban","6:00 PM - 12:00 AM",1,0,0,1,84,4,2,10,10,20,1,0,99,99
374,1,1560,1354,206,1,34,"VIC","Urban","6:00 PM - 12:00 AM",1,1,0,2,78,2,2,10,9,19,1,1,5,0
6,1,500,0,500,0,33,"SA","Urban","12:00 AM - 6:00 AM",1,1,0,3,150,1,3,2,5,7,0,1,2,0
1808,5,3850,2067,1783,0,52,"VIC","Remote","6:00 PM - 12:00 AM",0,0,0,2,60,1,2,7,10,17,1,0,99,99
1017,3,2026,1563,463,0,58,"NT","Urban","6:00 AM - 12:00 PM",0,1,0,3,72,1,2,7,7,14,1,0,99,99
402,2,3850,2390,1460,1,99,"NA","NA","12:00 PM - 6:00 PM",0,0,0,3,36,3,2,7,6,13,0,0,99,99
1257,4,358,0,358,0,24,"NSW","Regional","6:00 AM - 12:00 PM",1,1,0,2,78,2,2,10,9,19,0,0,99,99
878,3,2957,1748,1209,0,47,"NSW","Urban","6:00 PM - 12:00 AM",0,0,0,3,132,3,4,7,7,14,1,0,99,99
1393,4,200,0,200,0,34,"NSW","Urban","6:00 AM - 12:00 PM",1,1,1,2,120,1,2,9,6,15,1,0,99,99
1167,3,1640,1500,140,1,37,"VIC","Regional","6:00 AM - 12:00 PM",0,1,0,3,36,2,2,4,3,7,0,0,99,99
338,1,1408,1059,349,1,24,"VIC","Regional","6:00 PM - 12:00 AM",1,1,1,2,120,2,4,10,10,20,1,0,99,99
1647,5,1415,0,1415,1,49,"VIC","Urban","6:00 PM - 12:00 AM",0,1,1,1,156,2,3,2,1,3,0,1,1,0
594,2,326,0,326,1,23,"VIC","Urban","6:00 PM - 12:00 AM",1,1,0,3,144,2,4,7,7,14,0,0,99,99
1981,5,4142,1920,2222,1,56,"QLD","Urban","6:00 PM - 12:00 AM",0,0,1,1,24,3,1,8,4,12,1,0,99,99
343,1,2106,1616,490,0,44,"VIC","Urban","6:00 PM - 12:00 AM",1,1,0,3,180,2,2,2,3,5,0,0,99,99
1168,3,1401,1121,280,1,31,"QLD","Urban","6:00 AM - 12:00 PM",1,1,1,3,24,2,4,2,0,2,0,0,99,99
250,1,1440,1322,118,1,28,"VIC","Regional","12:00 AM - 6:00 AM",1,0,0,3,78,2,2,6,10,16,1,0,99,99
632,2,3984,2165,1819,1,52,"WA","Urban","6:00 PM - 12:00 AM",0,0,0,3,54,1,3,10,10,20,0,1,5,0
